aid,prn,t,rh,tanededt,minelv,maxelv,azi,dt,ahgt,sp,ptn,clr,pr,ms,vs,af,df
0,2,1408341088,5.348,2184.071,5.068,24.906,149.512,2820,0.185,9.631,3.766,2.823,1.121,49.806,387.883,7413.281,0.079
0,2,1408354440,3.216,-3528.448,18.991,24.917,64.897,900,0.185,3.320,4.252,3.795,1.166,9.487,12.176,566.061,-0.439
0,2,1408356448,18.306,-1303.636,5.012,13.292,64.000,1230,0.185,1.081,1.792,1.403,1.009,7.309,5.359,87.614,0.076
0,2,1408388046,1.647,2619.878,5.004,24.977,328.972,3180,0.185,2.811,4.688,3.794,1.151,14.691,24.399,2695.746,-0.124
0,2,1408400058,11.187,-2506.777,5.074,25.000,255.399,3200,0.185,28.128,5.375,5.122,1.816,104.255,1811.194,15371.428,2.544
0,3,1408323368,11.877,-2213.003,5.072,24.979,221.282,2860,0.185,20.904,5.101,4.528,1.873,92.656,1115.038,9651.630,1.888
0,3,1408350850,0.747,2423.872,5.055,24.880,118.150,2940,0.185,2.376,4.276,3.687,1.472,9.713,27.001,2860.205,0.128
0,3,1408363231,0.803,-2269.746,5.074,24.877,38.014,2960,0.185,1.012,3.968,3.272,1.445,6.678,6.888,1611.880,-0.067
0,3,1408396166,6.170,2349.463,6.446,24.914,306.747,2660,0.185,11.029,6.434,5.289,1.546,36.986,204.675,5509.446,0.709
0,4,1408331293,10.874,-2127.002,5.043,24.979,187.777,2770,0.185,18.772,5.667,5.021,1.618,84.988,731.134,9136.329,-1.930
0,4,1408358493,10.880,1616.520,5.024,16.889,86.402,1920,0.185,0.703,2.156,1.882,1.030,5.642,2.762,139.280,-0.072
0,4,1408360691,7.836,4530.312,19.999,24.937,77.437,930,0.185,2.173,2.399,1.819,1.008,7.781,9.097,262.251,0.860
0,4,1408370102,0.743,-2597.813,5.047,24.955,14.567,3370,0.185,0.926,3.248,2.551,1.320,5.027,4.056,826.207,-0.165
0,4,1408402453,7.016,2189.407,5.041,24.883,278.000,2850,0.185,30.447,7.020,6.266,2.021,101.462,1405.802,18136.296,1.722
0,5,1408327846,1.971,3084.086,5.294,24.685,56.417,3480,0.185,1.327,2.453,1.975,1.184,7.127,8.838,558.658,0.123
0,5,1408337091,6.831,-2903.481,5.047,24.970,302.953,3620,0.185,13.125,5.714,4.899,1.331,54.843,434.880,13341.348,-2.250
0,5,1408366388,9.306,2081.926,5.039,24.889,198.641,2710,0.185,18.300,3.488,2.794,1.109,117.069,1524.212,10056.639,-2.390
0,5,1408380983,3.992,-3198.634,19.458,24.939,104.000,750,0.185,2.872,2.876,2.435,1.049,12.280,17.665,393.577,0.418
0,6,1408323740,7.027,-2788.749,5.047,24.955,301.794,3490,0.185,9.847,4.893,4.167,1.109,46.800,292.440,10482.728,-0.985
0,6,1408352683,10.571,2062.968,5.041,24.903,197.967,2690,0.185,25.600,7.246,6.058,1.619,96.536,998.327,10627.833,-2.242
0,6,1408367806,1.096,-2925.231,14.736,24.962,104.000,1410,0.185,2.384,3.472,3.118,1.680,8.209,11.231,687.089,0.063
0,6,1408369686,11.647,-986.458,5.112,9.165,105.000,580,0.185,0.621,2.401,1.831,1.207,3.239,0.862,43.781,0.116
0,6,1408400072,8.988,2833.357,5.142,24.950,31.855,3460,0.185,1.141,2.706,2.135,1.102,6.726,6.476,664.926,0.102
0,7,1408326878,6.630,2258.598,5.029,24.951,266.000,2940,0.185,23.797,4.794,4.107,1.188,98.576,1554.936,17007.019,1.594
0,7,1408342633,9.101,-2124.228,5.103,24.969,176.464,2750,0.185,24.357,7.298,5.963,1.655,88.712,846.748,11067.728,-1.852
0,7,1408371737,2.385,3882.104,10.520,24.954,65.857,2790,0.185,3.502,3.733,3.725,1.093,12.646,26.782,1782.448,0.333
0,7,1408380970,8.696,-3301.053,10.874,24.968,7.431,2690,0.185,0.980,3.171,2.281,1.137,4.562,3.638,646.980,0.111
0,7,1408382673,7.478,-1141.428,5.028,8.894,1.984,630,0.185,0.239,2.388,2.040,1.182,2.895,0.347,22.982,-0.054
0,8,1408331927,10.270,2123.787,5.006,24.971,171.141,2770,0.185,15.438,5.113,4.378,1.571,67.576,619.565,7223.013,-0.384
0,8,1408345584,7.548,-3444.090,19.490,24.996,81.600,800,0.185,1.287,2.030,1.659,1.133,6.523,3.567,52.649,0.057
0,8,1408379518,0.533,2907.864,5.269,24.954,342.910,3350,0.185,2.021,3.835,3.067,1.412,13.161,14.395,2405.289,-0.252
0,8,1408389768,7.029,-2771.822,5.121,24.992,276.473,3480,0.185,24.467,4.903,4.342,1.171,108.259,1778.492,23325.835,2.268
0,9,1408320923,5.993,2821.392,12.480,24.932,293.940,1810,0.185,13.471,4.915,3.980,1.386,52.915,320.137,4742.080,-1.851
0,9,1408334438,10.296,-2204.184,5.128,24.998,207.323,2840,0.185,24.517,6.417,6.325,2.268,95.472,1224.870,13927.919,-2.339
0,9,1408361452,16.486,1749.824,5.160,17.228,105.280,1890,0.185,0.442,2.304,1.827,1.069,5.454,1.583,195.553,-0.017
0,9,1408363379,3.217,4138.046,19.744,24.962,97.736,890,0.185,2.880,2.001,1.670,1.013,10.912,20.325,219.720,0.492
0,9,1408373744,2.467,-2407.243,5.115,24.988,28.807,3180,0.185,0.898,2.908,2.364,1.030,5.182,4.884,1020.759,0.243
0,9,1408405738,7.383,1419.455,5.056,14.064,295.000,1320,0.185,21.333,4.198,3.696,1.665,67.389,768.574,5647.281,2.894
0,10,1408339039,5.557,1444.169,5.310,14.070,64.575,1440,0.185,0.624,1.960,1.473,1.023,5.945,2.657,98.046,0.176
0,10,1408341339,1.674,4517.063,17.376,24.958,55.235,1500,0.185,3.323,3.334,2.967,1.011,10.442,20.841,1060.559,-0.363
0,10,1408350215,0.990,-2766.258,5.084,24.983,271.245,3480,0.185,1.116,3.083,2.489,1.087,7.106,7.047,1251.525,0.054
0,10,1408381643,9.890,2170.536,5.029,24.890,257.570,2830,0.185,38.879,6.311,5.039,1.690,114.876,2614.096,16589.488,-3.184
0,10,1408397577,10.522,-2050.968,5.077,24.935,164.270,2670,0.185,14.016,4.278,3.776,1.096,77.178,681.842,6623.492,1.101
0,11,1408320240,9.922,6661.465,23.747,24.956,10.783,310,0.185,3.089,2.291,0.000,0.000,8.317,12.046,76.091,0.034
0,11,1408327407,4.630,-3168.325,5.150,24.984,321.530,3820,0.185,1.464,2.362,1.756,1.061,18.737,23.744,2178.770,-0.350
0,11,1408357523,11.373,2122.769,5.040,24.958,216.000,2770,0.185,15.414,3.635,2.964,1.026,99.547,1090.927,9765.989,-0.527
0,11,1408372908,0.650,-2840.325,10.252,24.987,122.029,2030,0.185,6.361,3.794,3.082,1.087,18.878,84.494,2616.319,-0.291
0,11,1408374818,5.583,-878.155,5.128,7.358,123.000,320,0.185,0.475,2.102,1.997,1.186,3.241,0.663,20.730,0.452
0,11,1408403273,14.211,1420.731,5.156,12.495,25.143,1240,0.185,1.315,2.257,1.767,1.047,6.519,6.075,102.578,-0.002
0,11,1408405251,4.532,4207.305,14.304,24.249,17.055,2100,0.185,1.354,2.850,2.122,1.412,6.277,5.569,366.615,0.317
0,12,1408352059,6.116,2318.754,5.023,24.927,299.361,2880,0.185,15.347,5.725,4.918,1.002,46.849,489.937,9764.893,-1.029
0,12,1408365627,6.065,-2220.094,5.051,24.987,213.312,2880,0.185,26.548,5.398,4.327,1.184,106.220,1642.623,15788.152,-2.268
0,12,1408393476,0.692,2620.484,5.030,24.939,108.922,3120,0.185,2.311,3.673,3.287,1.134,9.710,17.614,1409.009,0.123
0,12,1408405129,0.840,-2370.715,6.496,24.976,33.020,2900,0.185,0.914,3.284,2.581,1.101,6.090,4.153,796.686,0.097
0,13,1408334050,2.979,2526.093,5.102,24.945,330.162,3060,0.185,2.594,5.143,4.139,1.011,14.645,17.155,2819.902,0.022
0,13,1408345618,9.007,-2448.042,5.050,24.990,254.679,3140,0.185,33.068,6.418,5.414,1.490,93.178,1925.758,20027.627,-2.263
0,13,1408373280,5.482,2154.986,5.032,24.944,151.371,2800,0.185,11.837,4.848,3.620,1.182,49.518,350.915,7664.250,-0.599
0,13,1408387203,0.907,-2220.992,5.110,24.948,63.559,2870,0.185,1.410,5.862,5.155,1.183,5.806,6.273,1832.833,0.061
0,14,1408337348,9.136,2193.859,5.048,24.971,250.491,2860,0.185,33.140,6.492,5.713,1.836,96.214,1972.007,17300.488,-2.485
