aid,prn,t,rh,tanededt,minelv,maxelv,azi,dt,ahgt,sp,ptn,clr,pr,ms,vs,af,df
0,3,1408495676,11.766,-2208.333,5.125,24.942,221.282,2840,0.185,20.797,3.318,3.945,2.242,103.133,1240.763,8834.633,-2.701
0,4,1408503592,11.802,-2138.881,5.055,24.998,187.785,2770,0.185,13.474,2.922,2.692,1.073,85.785,462.767,5986.079,-1.833
0,5,1408538693,12.316,2076.613,5.045,24.889,198.636,2710,0.185,19.799,2.774,3.165,1.970,120.078,1835.698,9759.545,-3.896
0,6,1408524993,10.033,2060.766,5.034,24.910,197.993,2690,0.185,37.400,4.383,5.101,1.961,115.835,1587.925,15444.192,-1.825
0,9,1408506748,11.373,-2199.004,5.112,24.938,207.295,2840,0.185,23.351,3.436,3.883,2.329,101.570,1277.946,9895.043,-2.853
0,11,1408529843,10.926,2108.200,5.064,24.936,216.000,2750,0.185,34.173,4.068,5.807,2.993,109.906,1579.501,13764.302,-3.145
0,12,1408537938,12.261,-2213.253,5.039,24.962,213.211,2880,0.185,18.012,2.535,2.720,1.953,115.079,1548.613,9472.163,-2.631
0,15,1408546518,12.211,1098.560,5.028,10.171,181.000,740,0.185,36.365,1.727,1.377,1.377,99.994,1768.926,3254.226,-1.865
0,16,1408494538,11.957,2071.763,5.043,24.915,185.148,2700,0.185,17.585,3.479,5.423,2.697,88.387,641.039,6550.549,-2.680
0,17,1408516368,9.538,2104.534,5.054,24.910,219.000,2740,0.185,39.231,5.298,7.381,4.197,124.958,1916.288,15247.844,-3.125
0,19,1408519613,9.440,2135.731,5.029,24.870,229.875,2790,0.185,42.109,5.124,4.801,1.735,125.964,2401.452,18405.435,0.216
0,20,1408534968,11.855,2134.795,5.048,24.865,189.606,2780,0.185,18.777,2.775,2.550,1.346,99.074,1190.538,8581.158,-2.390
0,21,1408571218,9.625,-2053.276,5.072,20.075,245.909,2400,0.185,56.278,5.014,6.671,4.217,125.297,3360.059,20257.323,-1.933
0,23,1408549578,11.753,2128.173,5.035,24.921,242.391,2780,0.185,24.209,2.436,2.366,1.498,116.384,2213.987,9995.443,-3.553
0,24,1408529553,10.243,-1172.956,5.074,9.511,248.403,710,0.185,57.213,2.380,5.306,5.306,102.646,2205.883,5433.127,2.151
0,25,1408540623,12.499,-2379.044,5.101,24.972,234.441,3050,0.185,19.149,2.945,3.202,1.335,94.344,1162.274,9966.555,-1.772
0,28,1408567373,9.589,2107.966,5.037,24.954,197.250,2750,0.185,39.476,5.487,6.107,2.470,120.830,1794.453,15536.882,-1.033
0,29,1408549040,11.746,-2140.790,5.112,24.964,196.386,2770,0.185,23.078,2.776,2.373,1.035,122.773,1837.348,10857.018,-3.665
0,30,1408518058,9.691,-2192.858,5.086,24.996,191.481,2840,0.185,35.120,4.131,5.626,1.940,108.640,1585.727,17213.085,-1.160
0,31,1408571408,10.074,2070.827,5.045,24.870,210.919,2700,0.185,34.720,4.493,6.071,3.353,129.432,1892.400,14196.513,-3.132
0,32,1408560033,9.767,2138.906,5.042,24.859,225.471,2790,0.185,31.697,3.052,2.820,1.532,125.771,2445.352,16473.841,-1.812
0,101,1408553105,10.870,1814.672,5.055,24.858,222.675,2370,0.185,9.218,2.590,2.107,1.431,83.272,372.447,3164.821,-0.685
0,102,1408558393,9.751,1843.213,5.073,24.943,242.579,2410,0.185,9.267,2.528,1.671,1.080,102.143,569.150,4334.350,-0.321
0,103,1408497978,11.854,-1778.816,5.106,24.996,184.000,2320,0.185,7.714,2.461,2.250,1.327,72.103,293.165,2626.490,-0.652
0,104,1408502653,11.624,-1794.161,5.122,24.972,205.098,2330,0.185,8.965,3.123,2.707,2.037,104.930,614.777,3913.073,-0.817
0,105,1408507118,10.935,-1833.325,5.078,24.953,227.071,2380,0.185,10.826,2.552,1.983,1.160,127.117,923.917,4649.495,-1.124
0,108,1408547218,12.245,1791.640,5.061,24.894,195.519,2340,0.185,7.365,2.261,1.991,1.201,72.643,287.863,2813.613,-0.478
0,109,1408526418,9.882,-1799.457,5.122,24.976,185.106,2340,0.185,7.811,2.978,2.687,1.188,77.173,208.713,2636.830,-1.060
0,110,1408530585,10.647,-1821.314,5.120,24.937,203.481,2360,0.185,5.229,3.506,3.072,1.889,42.902,100.115,1741.629,-0.230
0,111,1408535423,11.509,-1845.437,5.111,24.952,227.050,2390,0.185,9.911,2.563,1.941,1.333,118.301,975.010,4303.150,-0.410
0,114,1408494978,9.030,1822.982,5.057,24.858,218.732,2380,0.185,7.999,2.759,2.399,1.226,81.358,346.095,3966.304,-1.332
0,114,1408575778,10.510,1799.904,5.011,24.908,195.519,2360,0.185,7.558,2.401,2.237,1.315,77.331,252.152,3045.172,-1.049
0,115,1408500463,11.873,1846.111,5.064,24.891,241.099,2410,0.185,14.000,2.061,1.747,1.000,133.690,1004.108,6360.033,-2.486
0,117,1408564948,9.479,-1829.050,5.155,24.918,229.519,2360,0.185,32.291,4.949,4.551,2.207,128.732,1569.901,9800.263,-0.407
0,118,1408569816,9.940,-1182.023,5.113,13.944,248.385,1090,0.185,6.886,1.947,1.504,1.011,90.682,283.925,1336.190,1.602
0,119,1408517338,9.395,1770.552,5.040,24.888,187.635,2320,0.185,4.460,5.325,5.904,1.841,23.448,37.129,1423.301,0.011
0,120,1408523683,9.716,1793.948,5.023,24.879,215.581,2350,0.185,5.667,3.457,3.008,1.063,40.046,68.822,2130.234,0.079
0,121,1408529348,10.512,1832.884,5.052,24.895,241.216,2400,0.185,14.755,3.176,3.240,1.955,118.079,818.270,5230.965,-1.214
0,202,1408507378,10.808,2581.837,5.034,24.939,241.074,3360,0.185,24.785,3.526,3.903,2.406,89.728,1244.326,14461.282,-3.627
0,203,1408509778,10.910,-2588.364,5.101,24.950,215.513,3340,0.185,21.181,3.756,4.329,2.263,82.454,794.665,11976.602,-2.330
0,205,1408503888,11.472,-2518.552,5.020,24.940,186.632,3280,0.185,14.304,3.050,3.800,2.536,75.885,449.427,7986.991,-2.519
0,207,1408552763,10.938,2509.423,5.009,24.908,192.000,3270,0.185,17.417,3.022,3.638,1.924,86.340,994.230,9887.659,-2.877
0,208,1408515153,9.976,-2724.095,5.092,24.958,244.089,3490,0.185,30.218,3.939,5.511,2.308,91.421,1551.743,20133.055,-5.019
0,212,1408575808,10.328,-1077.141,5.066,7.532,249.000,420,0.185,31.712,1.534,0.000,0.000,61.630,603.350,1759.036,3.364
0,213,1408537118,12.220,2534.295,5.057,24.892,246.356,3300,0.185,18.030,2.534,2.219,1.188,86.158,1193.727,9951.890,-3.398
0,215,1408529823,10.956,2469.071,5.006,24.900,217.296,3230,0.185,24.130,3.861,4.759,2.331,84.900,908.636,13009.319,-2.530
0,218,1408558218,10.385,-1419.715,5.017,15.328,245.217,1420,0.185,34.179,3.825,4.789,2.669,72.091,889.561,6024.375,-0.373
0,219,1408566148,9.494,2571.816,5.013,24.902,246.510,3360,0.185,21.357,5.455,7.541,2.918,60.612,612.446,11594.968,-1.484
0,221,1408545373,12.281,-2068.042,5.068,18.078,247.339,2290,0.185,18.065,2.076,1.943,1.147,87.607,1287.429,7129.211,-4.300
0,224,1408494028,12.260,2961.409,10.155,24.919,184.000,2420,0.185,7.137,1.476,1.303,1.109,78.526,307.775,3498.278,-2.123
0,225,1408500278,11.844,2529.380,5.007,24.939,212.912,3300,0.185,15.945,2.653,2.816,2.417,88.612,883.675,9468.493,-2.822
0,226,1408563083,9.813,-2472.406,5.090,24.994,194.161,3210,0.185,26.515,4.223,4.574,1.644,84.891,874.117,15292.809,-1.647
0,227,1408539253,12.031,-2595.201,5.081,24.956,219.003,3350,0.185,16.065,2.595,2.062,1.031,81.186,1012.213,10808.563,-2.331
0,229,1408559883,9.741,2568.300,5.031,24.988,221.589,3350,0.185,27.305,4.844,5.825,3.122,85.068,948.681,14313.033,-1.918
0,230,1408533378,11.030,-2525.614,5.089,24.999,189.839,3280,0.185,18.984,3.255,3.982,2.339,83.336,747.810,10122.586,-2.749
0,233,1408568630,9.449,-2505.832,5.058,24.970,221.360,3250,0.185,30.540,5.791,9.584,3.668,95.269,1208.708,15637.107,-0.979
0,234,1408523123,9.740,2448.581,5.047,24.922,188.653,3190,0.185,29.745,4.504,4.952,2.086,89.546,979.743,16414.639,-2.200
1,3,1408495678,11.738,-2206.210,5.125,24.942,221.316,2840,0.185,26.324,3.342,4.113,2.101,107.942,1528.362,11047.539,-3.641
1,4,1408503603,11.754,-2128.103,5.055,24.998,187.784,2770,0.185,18.454,2.811,2.764,1.041,85.931,795.710,8428.569,-2.983
1,5,1408538694,12.333,2078.318,5.045,24.889,198.664,2710,0.185,24.394,2.711,3.097,1.908,131.493,2215.449,9601.768,-4.038
1,6,1408524993,9.982,2060.766,5.034,24.910,197.974,2690,0.185,36.945,3.938,5.626,1.922,111.453,1833.271,16465.240,-3.769
