prn,elv,azi,gps_time,snr,ant
3.0,24.981035863574053,225.0,1408321948.0,30.0,0.0
3.0,24.91222409014354,225.0,1408321958.0,29.0,0.0
3.0,24.843385568556656,225.0,1408321968.0,35.0,0.0
3.0,24.774520517452085,225.0,1408321978.0,37.0,0.0
3.0,24.70562915546852,225.0,1408321988.0,37.0,0.0
3.0,24.636711701244646,225.0,1408321998.0,40.0,0.0
3.0,24.567768373419128,225.0,1408322008.0,41.0,0.0
3.0,24.498799390630673,225.0,1408322018.0,41.0,0.0
3.0,24.429804971517935,225.0,1408322028.0,40.0,0.0
3.0,24.360785334719623,225.0,1408322038.0,40.0,0.0
3.0,24.29174069887441,225.0,1408322048.0,37.0,0.0
3.0,24.222671282620986,225.0,1408322058.0,37.0,0.0
3.0,24.15357730459803,225.0,1408322068.0,38.0,0.0
3.0,24.084458983444218,225.0,1408322078.0,40.0,0.0
3.0,24.015316537798252,225.0,1408322088.0,41.0,0.0
3.0,23.946150186298805,225.0,1408322098.0,42.0,0.0
3.0,23.876960147584562,225.0,1408322108.0,43.0,0.0
3.0,23.8077466402942,225.0,1408322118.0,43.0,0.0
3.0,23.738509883066413,224.0,1408322128.0,41.0,0.0
3.0,23.66925009453988,224.0,1408322138.0,40.0,0.0
3.0,23.59996749335328,224.0,1408322148.0,41.0,0.0
3.0,23.530662298145295,224.0,1408322158.0,40.0,0.0
3.0,23.46133472755463,224.0,1408322168.0,38.0,0.0
3.0,23.391985000219943,224.0,1408322178.0,37.0,0.0
3.0,23.32261333477993,224.0,1408322188.0,35.0,0.0
3.0,23.25321994987328,224.0,1408322198.0,32.0,0.0
3.0,23.183805064138667,224.0,1408322208.0,34.0,0.0
3.0,23.11436889621477,224.0,1408322218.0,37.0,0.0
3.0,23.044911664740283,224.0,1408322228.0,37.0,0.0
3.0,22.975433588353887,224.0,1408322238.0,38.0,0.0
3.0,22.90593488569426,224.0,1408322248.0,40.0,0.0
3.0,22.8364157754001,224.0,1408322258.0,42.0,0.0
3.0,22.766876476110074,224.0,1408322268.0,43.0,0.0
3.0,22.697317206462873,224.0,1408322278.0,43.0,0.0
3.0,22.62773818509718,224.0,1408322288.0,43.0,0.0
3.0,22.558139630651677,224.0,1408322298.0,42.0,0.0
