prn,elv,azi,gps_time,snr,ant
3,37,234,1408320018,39,0
3,37,234,1408320028,38,0
3,37,234,1408320038,38,0
3,37,234,1408320048,35,0
3,37,234,1408320058,34,0
3,37,234,1408320068,32,0
3,37,234,1408320078,34,0
3,37,234,1408320088,36,0
3,37,234,1408320098,39,0
3,37,233,1408320108,41,0
3,37,233,1408320118,41,0
3,37,233,1408320128,41,0
3,37,233,1408320138,41,0
3,37,233,1408320148,41,0
3,37,233,1408320158,41,0
3,37,233,1408320168,41,0
3,37,233,1408320178,41,0
3,37,233,1408320188,39,0
3,37,233,1408320198,37,0
3,36,233,1408320208,33,0
3,36,233,1408320218,29,0
3,36,233,1408320228,32,0
3,36,233,1408320238,34,0
3,36,233,1408320248,37,0
3,36,233,1408320258,38,0
3,36,233,1408320268,40,0
3,36,233,1408320278,41,0
3,36,233,1408320288,41,0
3,36,233,1408320298,40,0
3,35,232,1408320308,40,0
3,35,232,1408320318,40,0
3,35,232,1408320328,42,0
3,35,232,1408320338,41,0
3,35,232,1408320348,40,0
3,35,232,1408320358,37,0
3,35,232,1408320368,35,0
3,35,232,1408320378,30,0
3,35,232,1408320388,30,0
3,35,232,1408320398,36,0
3,35,231,1408320408,40,0
3,35,231,1408320418,41,0
3,35,231,1408320428,41,0
3,35,231,1408320438,40,0
3,35,231,1408320448,40,0
3,35,231,1408320458,41,0
3,35,231,1408320468,41,0
3,35,231,1408320478,41,0
3,35,231,1408320488,41,0
3,35,231,1408320498,40,0
3,35,231,1408320508,35,0
3,34,231,1408320518,29,0
3,34,231,1408320528,26,0
3,34,231,1408320538,34,0
3,34,231,1408320548,38,0
3,34,231,1408320558,41,0
3,34,231,1408320568,42,0
3,34,231,1408320578,43,0
3,34,231,1408320588,43,0
3,34,231,1408320598,45,0
3,34,231,1408320608,45,0
3,34,230,1408320618,44,0
3,34,230,1408320628,42,0
3,34,230,1408320638,41,0
3,34,230,1408320648,38,0
3,34,230,1408320658,35,0
3,34,230,1408320668,31,0
3,34,230,1408320678,34,0
3,34,230,1408320688,31,0
3,34,230,1408320698,31,0
3,34,230,1408320708,37,0
3,33,230,1408320718,39,0
3,33,230,1408320728,39,0
3,33,230,1408320738,40,0
3,33,230,1408320748,42,0
3,33,230,1408320758,42,0
3,33,230,1408320768,41,0
3,33,230,1408320778,40,0
3,33,230,1408320788,41,0
3,33,230,1408320798,40,0
3,33,230,1408320808,39,0
3,32,229,1408320818,38,0
3,32,229,1408320828,39,0
3,32,229,1408320838,39,0
3,32,229,1408320848,41,0
3,32,229,1408320858,41,0
3,32,229,1408320868,42,0
3,32,229,1408320878,41,0
3,32,229,1408320888,41,0
3,32,229,1408320898,42,0
3,32,229,1408320908,41,0
3,32,229,1408320918,40,0
3,32,229,1408320928,39,0
3,32,229,1408320938,35,0
3,32,229,1408320948,29,0
3,32,229,1408320958,27,0
3,32,229,1408320968,36,0
3,32,229,1408320978,38,0
3,32,229,1408320988,39,0
3,32,229,1408320998,39,0
3,32,229,1408321008,39,0
3,31,228,1408321018,40,0
3,31,228,1408321028,42,0
3,31,228,1408321038,42,0
3,31,228,1408321048,43,0
3,31,228,1408321058,42,0
3,31,228,1408321068,42,0
3,31,228,1408321078,41,0
3,31,228,1408321088,40,0
3,31,228,1408321098,40,0
3,31,228,1408321108,39,0
3,30,228,1408321118,38,0
3,30,228,1408321128,38,0
3,30,228,1408321138,38,0
3,30,228,1408321148,37,0
3,30,228,1408321158,37,0
3,30,228,1408321168,36,0
3,30,228,1408321178,38,0
3,30,228,1408321188,39,0
3,30,228,1408321198,34,0
3,30,228,1408321208,36,0
3,30,228,1408321218,37,0
3,30,228,1408321228,36,0
3,30,228,1408321238,39,0
3,30,228,1408321248,39,0
3,30,228,1408321258,40,0
3,30,228,1408321268,41,0
3,30,228,1408321278,42,0
3,30,228,1408321288,41,0
3,30,228,1408321298,41,0
