datetime_utc,water_level_m,error_m
2024-08-22 00:00:00,-12.327,0.141
2024-08-22 00:05:00,-12.313,0.141
2024-08-22 00:10:00,-12.296,0.141
2024-08-22 00:15:00,-12.275,0.142
2024-08-22 00:20:00,-12.253,0.143
2024-08-22 00:25:00,-12.227,0.145
2024-08-22 00:30:00,-12.199,0.147
2024-08-22 00:35:00,-12.168,0.149
2024-08-22 00:40:00,-12.136,0.152
2024-08-22 00:45:00,-12.101,0.154
2024-08-22 00:50:00,-12.065,0.157
2024-08-22 00:55:00,-12.027,0.159
2024-08-22 01:00:00,-11.987,0.162
2024-08-22 01:05:00,-11.946,0.164
2024-08-22 01:10:00,-11.904,0.166
2024-08-22 01:15:00,-11.86,0.168
2024-08-22 01:20:00,-11.816,0.17
2024-08-22 01:25:00,-11.77,0.172
2024-08-22 01:30:00,-11.724,0.174
2024-08-22 01:35:00,-11.676,0.176
2024-08-22 01:40:00,-11.628,0.177
2024-08-22 01:45:00,-11.579,0.179
2024-08-22 01:50:00,-11.53,0.181
2024-08-22 01:55:00,-11.48,0.183
2024-08-22 02:00:00,-11.429,0.185
2024-08-22 02:05:00,-11.378,0.188
2024-08-22 02:10:00,-11.326,0.19
2024-08-22 02:15:00,-11.274,0.192
2024-08-22 02:20:00,-11.222,0.195
2024-08-22 02:25:00,-11.169,0.197
2024-08-22 02:30:00,-11.115,0.199
2024-08-22 02:35:00,-11.061,0.202
2024-08-22 02:40:00,-11.006,0.203
2024-08-22 02:45:00,-10.95,0.205
2024-08-22 02:50:00,-10.894,0.206
2024-08-22 02:55:00,-10.837,0.208
2024-08-22 03:00:00,-10.779,0.208
2024-08-22 03:05:00,-10.721,0.208
2024-08-22 03:10:00,-10.661,0.208
2024-08-22 03:15:00,-10.602,0.208
2024-08-22 03:20:00,-10.542,0.207
2024-08-22 03:25:00,-10.481,0.206
2024-08-22 03:30:00,-10.421,0.205
2024-08-22 03:35:00,-10.36,0.204
2024-08-22 03:40:00,-10.3,0.202
2024-08-22 03:45:00,-10.24,0.201
2024-08-22 03:50:00,-10.181,0.2
2024-08-22 03:55:00,-10.122,0.199
2024-08-22 04:00:00,-10.064,0.198
2024-08-22 04:05:00,-10.007,0.197
2024-08-22 04:10:00,-9.95,0.196
2024-08-22 04:15:00,-9.895,0.196
2024-08-22 04:20:00,-9.841,0.195
2024-08-22 04:25:00,-9.789,0.195
2024-08-22 04:30:00,-9.738,0.195
2024-08-22 04:35:00,-9.688,0.195
2024-08-22 04:40:00,-9.64,0.194
2024-08-22 04:45:00,-9.594,0.194
2024-08-22 04:50:00,-9.549,0.193
2024-08-22 04:55:00,-9.506,0.193
2024-08-22 05:00:00,-9.465,0.192
2024-08-22 05:05:00,-9.426,0.19
2024-08-22 05:10:00,-9.389,0.189
2024-08-22 05:15:00,-9.355,0.187
2024-08-22 05:20:00,-9.322,0.186
2024-08-22 05:25:00,-9.292,0.184
